序号,提交答卷时间,所用时间,来源,来源详情,来自IP,Your Staff ID 员工号:,How is your physical condition today (今天身体感觉如何)？,Your Work Status Today 您今天的工作状态：,Your working hours today 您今天的工作小时数,Your Plan for Tomorrow 您明天的工作计划：,Your planned working hours tomorrow 您明天计划的工作小时数,"Anything(feeling, suggestion, difficulties) you would like say or draw attention to leadership team today (Optional) 你今天希望跟管理层沟通的内容（情绪、建议、遇到的困难等等，可以是任何内容），可选填"
1383,2020/2/10 9:11:28,26秒,微信,N/A,120.85.147.180(广东-广州),43840876,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1384,2020/2/10 9:12:03,27秒,微信,N/A,113.65.138.67(广东-广州),43728642,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1385,2020/2/10 9:12:06,23秒,微信,N/A,113.109.121.250(广东-广州),43820983,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1386,2020/2/10 9:12:12,29秒,微信,N/A,113.78.109.138(广东-东莞),44037652,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1387,2020/2/10 9:12:23,19秒,微信,N/A,103.27.25.20(广东-东莞),45057707,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1388,2020/2/10 9:12:28,31秒,微信,N/A,58.62.122.17(广东-广州),43167031,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1389,2020/2/10 9:12:53,33秒,微信,N/A,113.66.10.132(广东-广州),45049396,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1390,2020/2/10 9:13:11,29秒,微信,N/A,120.230.122.36(广东-广州),45083381,Feeling well and healthy,Work from home,8.5,Work from home,8.5,(空)
1391,2020/2/10 9:13:12,56秒,微信,N/A,112.96.173.148(广东-广州),44062967,Feeling well and healthy,Work in TKH office,8,Work in TKH office,8,(空)
1392,2020/2/10 9:13:32,16秒,微信,N/A,120.235.11.12(广东-广州),43728644,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1393,2020/2/10 9:13:37,28秒,微信,N/A,116.199.102.158(广东-广州),45077109,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1394,2020/2/10 9:13:47,56秒,微信,N/A,14.223.179.193(广东-佛山),45053323,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1395,2020/2/10 9:14:03,38秒,微信,N/A,14.27.32.207(广东-广州),43685018,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1396,2020/2/10 9:14:07,34秒,微信,N/A,223.73.58.158(广东-广州),45040583,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1397,2020/2/10 9:14:24,59秒,微信,N/A,58.61.245.45(广东-广州),43220831,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1398,2020/2/10 9:14:37,53秒,微信,N/A,103.27.25.25(广东-东莞),43402513,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1399,2020/2/10 9:14:48,20秒,微信,N/A,113.69.196.127(广东-佛山),43833909,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1400,2020/2/10 9:15:47,24秒,微信,N/A,113.65.230.197(广东-广州),43440174,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1401,2020/2/10 9:15:50,101秒,微信,N/A,223.104.63.79(广东-未知),43798007,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1402,2020/2/10 9:15:55,24秒,微信,N/A,117.136.40.144(广东-广州),45012900,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1403,2020/2/10 9:16:14,29秒,微信,N/A,120.230.99.153(广东-广州),45057348,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1404,2020/2/10 9:16:35,19秒,微信,N/A,116.22.162.254(广东-广州),43430051,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1405,2020/2/10 9:18:07,21秒,微信,N/A,112.94.206.57(广东-广州),45060740,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1406,2020/2/10 9:18:08,42秒,微信,N/A,113.100.125.0(广东-肇庆),43278955,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1407,2020/2/10 9:19:07,24秒,微信,N/A,113.65.205.86(广东-广州),44115713,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1408,2020/2/10 9:19:32,22秒,微信,N/A,223.73.197.26(广东-广州),43682095,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1409,2020/2/10 9:19:52,31秒,微信,N/A,14.223.180.101(广东-佛山),43870777,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1410,2020/2/10 9:20:00,36秒,微信,N/A,218.20.10.225(广东-广州),43813579,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1411,2020/2/10 9:20:04,22秒,微信,N/A,59.42.7.130(广东-广州),44129170,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1412,2020/2/10 9:20:10,39秒,微信,N/A,114.251.216.26(北京-北京),45056221,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1413,2020/2/10 9:20:57,27秒,微信,N/A,219.117.245.14(国外-日本),44113038,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1414,2020/2/10 9:21:12,26秒,微信,N/A,223.104.64.190(广东-未知),44083217,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1415,2020/2/10 9:21:44,26秒,微信,N/A,117.136.79.55(广东-广州),43701247,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1416,2020/2/10 9:21:48,24秒,微信,N/A,113.65.207.16(广东-广州),43898724,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1417,2020/2/10 9:21:50,38秒,微信,N/A,58.63.147.180(广东-广州),43610711,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1418,2020/2/10 9:22:21,18秒,微信,N/A,110.88.224.174(福建-龙岩),43837194,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1419,2020/2/10 9:22:48,36秒,微信,N/A,113.100.27.96(广东-揭阳),45057233,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1420,2020/2/10 9:23:17,21秒,微信,N/A,113.70.101.164(广东-佛山),43886085,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1421,2020/2/10 9:23:51,23秒,链接,直接访问,183.67.56.205(重庆-重庆),45086449,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1422,2020/2/10 9:23:53,43秒,微信,N/A,119.246.86.208(香港-未知),45038663,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1423,2020/2/10 9:24:26,49秒,微信,N/A,120.230.113.49(广东-广州),43485466,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1424,2020/2/10 9:24:44,20秒,微信,N/A,58.63.139.22(广东-广州),44111913,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1425,2020/2/10 9:24:51,41秒,微信,N/A,183.25.129.242(广东-惠州),44112163,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1426,2020/2/10 9:24:53,24秒,微信,N/A,113.12.152.225(广西-南宁),43917181,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1427,2020/2/10 9:25:23,34秒,微信,N/A,223.104.63.81(广东-未知),44050485,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1428,2020/2/10 9:26:12,25秒,微信,N/A,116.199.51.84(广东-广州),44000297,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1429,2020/2/10 9:26:13,25秒,微信,N/A,183.4.29.42(广东-汕头),45058400,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1430,2020/2/10 9:26:32,19秒,微信,N/A,120.229.84.68(广东-深圳),45058593,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1431,2020/2/10 9:26:46,23秒,微信,N/A,59.41.117.192(广东-广州),43286205,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1432,2020/2/10 9:26:54,31秒,微信,N/A,220.198.208.70(广东-广州),43870755,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1433,2020/2/10 9:27:08,64秒,微信,N/A,223.233.7.66(国外-印度),43883153,Feeling well and healthy,Work from home,4.5,Others - please specify〖Not working-carry forward leave〗,(跳过),(空)
1434,2020/2/10 9:27:30,21秒,微信,N/A,58.62.164.96(广东-广州),44081944,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1435,2020/2/10 9:28:19,23秒,微信,N/A,112.96.135.137(广东-广州),43887682,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1436,2020/2/10 9:28:33,31秒,微信,N/A,219.137.143.61(广东-广州),43864498,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1437,2020/2/10 9:28:42,31秒,微信,N/A,112.96.199.171(广东-广州),45020652,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1438,2020/2/10 9:29:41,18秒,微信,N/A,58.63.2.101(广东-广州),45060754,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1439,2020/2/10 9:29:48,46秒,微信,N/A,14.213.157.127(广东-佛山),43731181,Feeling well and healthy,Work from home,8,Work from home,9,(空)
1440,2020/2/10 9:29:53,26秒,微信,N/A,120.230.116.255(广东-广州),45027222,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1441,2020/2/10 9:30:03,115秒,微信,N/A,120.230.87.94(广东-广州),43992018,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1442,2020/2/10 9:31:37,15秒,微信,N/A,119.131.143.128(广东-广州),44084864,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1443,2020/2/10 9:31:38,33秒,微信,N/A,223.192.192.63(广东-广州),45062908,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1444,2020/2/10 9:32:08,67秒,微信,N/A,223.107.252.12(江苏-泰州),45079629,Feeling well and healthy,Others - please specify〖No working - for intern only〗,(跳过),Others - please specify〖No working - for intern only〗,(跳过),(空)
1445,2020/2/10 9:32:19,31秒,微信,N/A,59.42.110.21(广东-广州),44043672,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1446,2020/2/10 9:32:28,122秒,微信,N/A,112.96.67.53(广东-佛山),45044663,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1447,2020/2/10 9:32:34,28秒,微信,N/A,112.96.179.29(广东-广州),43677051,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1448,2020/2/10 9:32:51,110秒,微信,N/A,113.109.36.74(广东-广州),43714529,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1449,2020/2/10 9:32:51,48秒,微信,N/A,112.96.179.69(广东-广州),43334347,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1450,2020/2/10 9:33:17,71秒,微信,N/A,183.6.159.242(广东-广州),43878583,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1451,2020/2/10 9:33:51,25秒,微信,N/A,58.62.204.26(广东-广州),45057903,Feeling well and healthy,Work from home,2,Work from home,2,(空)
1452,2020/2/10 9:34:35,20秒,微信,N/A,117.136.40.164(广东-广州),43639221,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1453,2020/2/10 9:35:14,17秒,微信,N/A,121.32.180.136(广东-广州),44078553,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1454,2020/2/10 9:36:20,68秒,微信,N/A,116.23.17.204(广东-广州),43910465,Feeling well and healthy,Work from home,7,Work from home,7,(空)
1455,2020/2/10 9:36:52,73秒,微信,N/A,120.230.131.43(广东-广州),43896175,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1456,2020/2/10 9:37:21,31秒,微信,N/A,112.96.67.241(广东-佛山),45018085,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1457,2020/2/10 9:37:50,39秒,微信,N/A,113.111.10.10(广东-广州),45031738,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1458,2020/2/10 9:37:55,67秒,微信,N/A,183.160.21.73(安徽-合肥),45079625,Feeling well and healthy,Others - please specify〖No working - for intern only〗,(跳过),Others - please specify〖No working - for intern only〗,(跳过),(空)
1459,2020/2/10 9:38:14,20秒,微信,N/A,113.66.55.112(广东-广州),43993248,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1460,2020/2/10 9:38:44,30秒,微信,N/A,113.103.5.144(广东-广州),44074215,Feeling well and healthy,Others - please specify〖Maternity leave〗,(跳过),Others - please specify〖Maternity leave〗,(跳过),(空)
1461,2020/2/10 9:39:18,21秒,微信,N/A,117.136.39.99(广东-深圳),44128899,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1462,2020/2/10 9:40:31,28秒,微信,N/A,61.140.244.215(广东-广州),45039550,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1463,2020/2/10 9:40:48,115秒,微信,N/A,61.140.77.122(广东-广州),44065819,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1464,2020/2/10 9:40:57,40秒,微信,N/A,120.35.50.254(福建-福州),44017476,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1465,2020/2/10 9:41:07,34秒,微信,N/A,120.230.120.100(广东-广州),45015800,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1466,2020/2/10 9:41:27,40秒,微信,N/A,183.62.57.192(广东-广州),43974384,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1467,2020/2/10 9:46:06,144秒,微信,N/A,219.137.141.33(广东-广州),43812312,Feeling well and healthy,Work from home,8,Work from home,8,na
1468,2020/2/10 9:47:36,18秒,微信,N/A,113.111.10.194(广东-广州),44113273,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1469,2020/2/10 9:48:29,77秒,微信,N/A,120.239.93.62(广东-江门),45067599,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1470,2020/2/10 9:50:03,30秒,微信,N/A,116.5.10.17(广东-佛山),44116444,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1471,2020/2/10 9:50:39,151秒,微信,N/A,112.97.208.254(广东-东莞),45079710,Feeling well and healthy,No working - Annual Leave,(跳过),No working - Annual Leave,(跳过),(空)
1472,2020/2/10 9:50:44,41秒,微信,N/A,223.73.116.170(广东-广州),43990189,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1473,2020/2/10 9:52:03,27秒,微信,N/A,120.239.64.98(广东-广州),43675743,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1474,2020/2/10 9:53:44,35秒,微信,N/A,59.41.156.3(广东-广州),45036594,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1475,2020/2/10 9:54:07,30秒,微信,N/A,163.204.7.129(广东-汕头),43743142,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1476,2020/2/10 9:54:44,25秒,微信,N/A,113.119.157.204(广东-广州),43594879,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1477,2020/2/10 9:55:15,51秒,微信,N/A,103.27.26.100(广东-东莞),43581055,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1478,2020/2/10 9:57:00,23秒,微信,N/A,27.46.132.240(广东-广州),43792531,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1479,2020/2/10 9:57:35,38秒,微信,N/A,103.27.25.250(广东-东莞),44108139,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1480,2020/2/10 9:57:48,34秒,微信,N/A,183.48.23.214(广东-广州),44061627,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1481,2020/2/10 9:57:51,26秒,微信,N/A,120.230.113.240(广东-广州),43990036,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1482,2020/2/10 9:58:03,60秒,微信,N/A,119.130.212.194(广东-广州),43534006,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1483,2020/2/10 10:00:16,27秒,微信,N/A,112.96.179.218(广东-广州),44063798,Feeling well and healthy,Work from home,10,Work from home,10,(空)
1484,2020/2/10 10:04:06,18秒,微信,N/A,119.129.71.95(广东-广州),44063807,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1485,2020/2/10 10:07:33,27秒,微信,N/A,59.35.84.244(广东-汕头),45057737,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1486,2020/2/10 10:09:23,18秒,微信,N/A,119.130.165.218(广东-广州),45028549,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1487,2020/2/10 10:12:01,18秒,微信,N/A,112.97.215.133(广东-东莞),43912564,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1488,2020/2/10 10:16:45,27秒,微信,N/A,223.73.121.234(广东-广州),44129176,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1489,2020/2/10 10:17:02,42秒,微信,N/A,116.199.51.4(广东-广州),43921020,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1490,2020/2/10 10:17:09,45秒,微信,N/A,113.69.38.83(广东-佛山),44129177,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1491,2020/2/10 10:17:10,25秒,微信,N/A,120.230.100.0(广东-广州),43227993,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1492,2020/2/10 10:17:51,37秒,微信,N/A,121.32.155.222(广东-广州),43367643,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1493,2020/2/10 10:18:54,18秒,微信,N/A,223.104.247.46(浙江-未知),43905752,Feeling well and healthy,Work from home,9,Work from home,9,(空)
1494,2020/2/10 10:22:09,50秒,微信,N/A,223.73.53.29(广东-广州),44033531,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1495,2020/2/10 10:24:44,82秒,微信,N/A,113.67.167.137(广东-广州),44035459,Having fever but not pneumonia,Work from home,8,Work from home,8,(空)
1496,2020/2/10 10:25:21,27秒,微信,N/A,112.96.68.109(广东-广州),45048198,Feeling well and healthy,Work in TKH office,8,Work from home,8,(空)
1497,2020/2/10 10:26:46,56秒,微信,N/A,120.227.111.23(湖南-郴州),45079618,Feeling well and healthy,Others - please specify〖intern〗,(跳过),Others - please specify〖intern〗,(跳过),(空)
1498,2020/2/10 10:37:32,24秒,微信,N/A,116.23.231.42(广东-广州),43784539,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1499,2020/2/10 10:50:15,22秒,微信,N/A,223.73.89.53(广东-佛山),43646405,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1500,2020/2/10 11:05:53,44秒,微信,N/A,123.129.116.40(山东-东营),44019771,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1501,2020/2/10 11:15:03,27秒,微信,N/A,43.241.70.145(国外-印度),43781654,Feeling well and healthy,No working - Annual Leave,(跳过),No working - Annual Leave,(跳过),(空)
1502,2020/2/10 11:15:33,22秒,微信,N/A,113.109.77.77(广东-广州),43840881,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1503,2020/2/10 11:17:09,23秒,微信,N/A,120.235.14.104(广东-广州),43892834,Feeling well and healthy,No working - Annual Leave,(跳过),No working - Annual Leave,(跳过),(空)
1504,2020/2/10 12:48:53,17秒,微信,N/A,121.32.180.136(广东-广州),44078853,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1505,2020/2/10 12:48:58,32秒,微信,N/A,223.104.63.89(广东-未知),43425318,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1506,2020/2/10 13:23:31,69秒,微信,N/A,59.41.117.96(广东-广州),43206205,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1507,2020/2/10 13:25:22,23秒,微信,N/A,59.41.117.96(广东-广州),43206205,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1508,2020/2/10 20:44:15,35秒,微信,N/A,175.168.232.233(辽宁-沈阳),43919523,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1509,2020/2/11 8:45:41,20秒,微信,N/A,119.129.100.14(广东-广州),43877251,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1510,2020/2/11 8:46:10,24秒,微信,N/A,114.251.216.26(北京-北京),45056221,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1511,2020/2/11 8:46:14,29秒,微信,N/A,219.136.199.151(广东-广州),43728642,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1512,2020/2/11 8:46:37,21秒,微信,N/A,223.104.63.89(广东-未知),43682095,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1513,2020/2/11 8:47:23,18秒,微信,N/A,61.140.247.187(广东-广州),43281397,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1514,2020/2/11 8:47:24,22秒,微信,N/A,59.41.206.1(广东-广州),43431908,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1515,2020/2/11 8:47:46,40秒,微信,N/A,119.129.115.189(广东-广州),43845168,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1516,2020/2/11 8:47:58,32秒,微信,N/A,183.236.79.144(广东-广州),43798007,Feeling well and healthy,Work in TKH office,8,Work from home,8,(空)
1517,2020/2/11 8:48:07,37秒,微信,N/A,116.23.162.243(广东-广州),43425318,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1518,2020/2/11 8:48:18,21秒,微信,N/A,116.21.1.210(广东-广州),44125886,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1519,2020/2/11 8:48:20,25秒,微信,N/A,120.239.73.217(广东-广州),45040583,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1520,2020/2/11 8:49:09,46秒,微信,N/A,112.1.137.206(江苏-泰州),45079629,Feeling well and healthy,Others - please specify〖No working - for intern〗,(跳过),Others - please specify〖No working - for intern〗,(跳过),(空)
1521,2020/2/11 8:49:13,54秒,微信,N/A,117.136.40.164(广东-广州),43639221,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1522,2020/2/11 8:49:14,24秒,微信,N/A,125.95.99.56(广东-佛山),44083217,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1523,2020/2/11 8:49:17,45秒,微信,N/A,183.6.159.242(广东-广州),43878583,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1524,2020/2/11 8:50:02,138秒,微信,N/A,113.74.127.129(广东-珠海),45014201,Feeling well and healthy,Work from home,8,Work from home,8,无法加入昨天的Information Security Session的VC。拨不进去。今天和另一个业务部门会议时间冲突
1525,2020/2/11 8:51:37,20秒,微信,N/A,113.109.38.167(广东-广州),43188169,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1526,2020/2/11 8:51:42,21秒,微信,N/A,120.230.115.131(广东-广州),45013281,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1527,2020/2/11 8:52:12,19秒,微信,N/A,58.62.122.17(广东-广州),43167031,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1528,2020/2/11 8:52:21,30秒,微信,N/A,117.136.7.91(黑龙江-大庆),45057419,Feeling well and healthy,No working - Weekend or public holiday,(跳过),Work from home,8,(空)
1529,2020/2/11 8:53:24,21秒,微信,N/A,117.136.41.51(广东-广州),43657984,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1530,2020/2/11 8:57:31,35秒,微信,N/A,42.2.124.38(香港-未知),43872298,Feeling well and healthy,Work from home,8,Work from home,8,(空)
